code,label,datatype,mandatory,standard
E1-6_27,E1,string,True,ESRS E1
E1-6_28,E1,string,True,ESRS E1
E1-6_29,E1,string,True,ESRS E1
E1-6_30,E1,string,True,ESRS E1
E1-6_31,E1,string,True,ESRS E1
E1-6_32,E1,string,True,ESRS E1
E1-6_33,E1,string,True,ESRS E1
E1-6_34,E1,string,True,ESRS E1
E1-6_35,E1,string,True,ESRS E1
E1-7_01,E1,string,True,ESRS E1
E1-7_02,E1,string,True,ESRS E1
E1-7_03,E1,string,True,ESRS E1
E1-7_04,E1,string,True,ESRS E1
E1-7_05,E1,string,True,ESRS E1
E1-7_06,E1,string,True,ESRS E1
E1-7_07,E1,string,True,ESRS E1
E1-7_08,E1,string,True,ESRS E1
E1-7_09,E1,string,True,ESRS E1
E1-7_10,E1,string,True,ESRS E1
E1-7_11,E1,string,True,ESRS E1
E1-7_12,E1,string,True,ESRS E1
E1-7_13,E1,string,True,ESRS E1
E1-7_14,E1,string,True,ESRS E1
E1-7_15,E1,string,True,ESRS E1
E1-7_16,E1,string,True,ESRS E1
E1-7_17,E1,string,True,ESRS E1
E1-7_18,E1,string,True,ESRS E1
E1-7_19,E1,string,True,ESRS E1
E1-7_20,E1,string,True,ESRS E1
E1-7_21,E1,string,True,ESRS E1
E1-7_22,E1,string,True,ESRS E1
E1-7_23,E1,string,True,ESRS E1
E1-7_24,E1,string,True,ESRS E1
E1-7_25,E1,string,True,ESRS E1
E1-8_01,E1,string,True,ESRS E1
E1-8_02,E1,string,True,ESRS E1
E1-8_03,E1,string,True,ESRS E1
E1-8_04,E1,string,True,ESRS E1
E1-8_05,E1,string,True,ESRS E1
E1-8_06,E1,string,True,ESRS E1
E1-8_07,E1,string,True,ESRS E1
E1-8_08,E1,string,True,ESRS E1
E1-8_09,E1,string,True,ESRS E1
E1-9_01,E1,string,True,ESRS E1
E1-9_02,E1,string,True,ESRS E1
E1-9_03,E1,string,True,ESRS E1
E1-9_04,E1,string,True,ESRS E1
E1-9_05,E1,string,True,ESRS E1
E1-9_06,E1,string,True,ESRS E1
E1-9_07,E1,string,True,ESRS E1
E1-9_08,E1,string,True,ESRS E1
E1-9_09,E1,string,True,ESRS E1
E1-9_10,E1,string,True,ESRS E1
E1-9_11,E1,string,True,ESRS E1
E1-9_12,E1,string,True,ESRS E1
E1-9_13,E1,string,True,ESRS E1
E1-9_14,E1,string,True,ESRS E1
E1-9_15,E1,string,True,ESRS E1
E1-9_16,E1,string,True,ESRS E1
E1-9_17,E1,string,True,ESRS E1
E1-9_18,E1,string,True,ESRS E1
E1-9_19,E1,string,True,ESRS E1
E1-9_20,E1,string,True,ESRS E1
E1-9_21,E1,string,True,ESRS E1
E1-9_22,E1,string,True,ESRS E1
E1-9_23,E1,string,True,ESRS E1
E1-9_24,E1,string,True,ESRS E1
E1-9_25,E1,string,True,ESRS E1
E1-9_26,E1,string,True,ESRS E1
E1-9_27,E1,string,True,ESRS E1
E1-9_28,E1,string,True,ESRS E1
E1-9_29,E1,string,True,ESRS E1
E1-9_30,E1,string,True,ESRS E1
E1-9_31,E1,string,True,ESRS E1
E1-9_32,E1,string,True,ESRS E1
E1-9_33,E1,string,True,ESRS E1
E1-9_34,E1,string,True,ESRS E1
E1-9_35,E1,string,True,ESRS E1
E1-9_36,E1,string,True,ESRS E1
E1-9_37,E1,string,True,ESRS E1
E1-9_38,E1,string,True,ESRS E1
E1-9_39,E1,string,True,ESRS E1
E1-9_40,E1,string,True,ESRS E1
E1-9_41,E1,string,True,ESRS E1
E1-9_42,E1,string,True,ESRS E1
E1-9_43,E1,string,True,ESRS E1
E1-9_44,E1,string,True,ESRS E1
E2.IRO-1_01,E2,string,True,ESRS E2
E2.IRO-1_02,E2,string,True,ESRS E2
E2.IRO-1_03,E2,string,True,ESRS E2
E2.MDR-P_01-06,E2,string,True,ESRS E2
E2-1_01,E2,string,True,ESRS E2
E2-1_02,E2,string,True,ESRS E2
E2-1_03,E2,string,True,ESRS E2
E2-1_04,E2,string,True,ESRS E2
E2.MDR-P_07-08,ESRS 2,string,True,ESRS E2
E2.MDR-A_01-12,E2,string,True,ESRS E2
E2-2_01,E2,string,True,ESRS E2
E2-2_02,E2,string,True,ESRS E2
E2-2_03,E2,string,True,ESRS E2
E2-2_04,E2,string,True,ESRS E2
E2.MDR-A_13-14,ESRS 2,string,True,ESRS E2
E2.MDR-T_01-13,E2,string,True,ESRS E2
E2-3_01,E2,string,True,ESRS E2
E2-3_02,E2,string,True,ESRS E2
E2-3_03,E2,string,True,ESRS E2
E2-3_04,E2,string,True,ESRS E2
E2-3_05,E2,string,True,ESRS E2
E2-3_06,E2,string,True,ESRS E2
E2-3_07,E2,string,True,ESRS E2
E2-3_08,E2,string,True,ESRS E2
E2-3_09,E2,string,True,ESRS E2
E2-3_10,E2,string,True,ESRS E2
E2-3_11,E2,string,True,ESRS E2
E2.MDR-T_14-19,ESRS 2,string,True,ESRS E2
E2-4_01,E2,string,True,ESRS E2
E2-4_02,E2,string,True,ESRS E2
E2-4_03,E2,string,True,ESRS E2
E2-4_04,E2,string,True,ESRS E2
E2-4_05,E2,string,True,ESRS E2
E2-4_06,E2,string,True,ESRS E2
E2-4_07,E2,string,True,ESRS E2
E2-4_08,E2,string,True,ESRS E2
E2-4_09,E2,string,True,ESRS E2
E2-4_10,E2,string,True,ESRS E2
E2-4_11,E2,string,True,ESRS E2
E2-4_12,E2,string,True,ESRS E2
E2-4_13,E2,string,True,ESRS E2
E2-4_14,E2,string,True,ESRS E2
E2-4_15,E2,string,True,ESRS E2
E2-4_16,E2,string,True,ESRS E2
E2-4_17,E2,string,True,ESRS E2
E2-4_18,E2,string,True,ESRS E2
E2-4_19,E2,string,True,ESRS E2
E2-4_20,E2,string,True,ESRS E2
E2-5_01,E2,string,True,ESRS E2
E2-5_02,E2,string,True,ESRS E2
E2-5_03,E2,string,True,ESRS E2
E2-5_04,E2,string,True,ESRS E2
E2-5_05,E2,string,True,ESRS E2
E2-5_06,E2,string,True,ESRS E2
E2-5_07,E2,string,True,ESRS E2
E2-5_08,E2,string,True,ESRS E2
E2-5_09,E2,string,True,ESRS E2
E2-5_10,E2,string,True,ESRS E2
E2-5_11,E2,string,True,ESRS E2
E2-5_12,E2,string,True,ESRS E2
E2-5_13,E2,string,True,ESRS E2
E2-6_01,E2,string,True,ESRS E2
E2-6_02,E2,string,True,ESRS E2
E2-6_03,E2,string,True,ESRS E2
E2-6_04,E2,string,True,ESRS E2
E2-6_05,E2,string,True,ESRS E2
E2-6_06,E2,string,True,ESRS E2
E2-6_07,E2,string,True,ESRS E2
E2-6_08,E2,string,True,ESRS E2
E2-6_09,E2,string,True,ESRS E2
E2-6_10,E2,string,True,ESRS E2
E2-6_11,E2,string,True,ESRS E2
E3.IRO-1_01,E3,string,True,ESRS E3
E3.IRO-1_02,E3,string,True,ESRS E3
E3.MDR-P_01-06,E3,string,True,ESRS E3
E3-1_01,E3,string,True,ESRS E3
E3-1_02,E3,string,True,ESRS E3
E3-1_03,E3,string,True,ESRS E3
E3-1_04,E3,string,True,ESRS E3
E3-1_05,E3,string,True,ESRS E3
E3-1_06,E3,string,True,ESRS E3
E3-1_07,E3,string,True,ESRS E3
E3-1_08,E3,string,True,ESRS E3
E3-1_09,E3,string,True,ESRS E3
E3-1_10,E3,string,True,ESRS E3
E3-1_11,E3,string,True,ESRS E3
E3-1_12,E3,string,True,ESRS E3
E3.MDR-P_07-08,ESRS 2,string,True,ESRS E3
E3.MDR-A_01-12,E3,string,True,ESRS E3
E3-2_01,E3,string,True,ESRS E3
E3-2_02,E3,string,True,ESRS E3
E3-2_03,E3,string,True,ESRS E3
E3.MDR-A_13-14,ESRS 2,string,True,ESRS E3
E3.MDR-T_01-13,E3,string,True,ESRS E3
E3-3_01,E3,string,True,ESRS E3
E3-3_02,E3,string,True,ESRS E3
E3-3_03,E3,string,True,ESRS E3
