conceptId,lang,role,label
esrs_AdjustingItemsToNetRevenueAtMaterialPhysicalRisk,en,http://www.xbrl.org/2003/role/commentaryGuidance,This XBRL element requires the use of positive/negative fact values to indicate if the amount is increased (+) or decreased (-).
esrs_AdjustingItemsToNetRevenueAtMaterialTransitionRisk,en,http://www.xbrl.org/2003/role/label,Adjusting items to net revenue at material transition risk
esrs_AdjustingItemsToNetRevenueAtMaterialTransitionRisk,en,http://www.xbrl.org/2003/role/commentaryGuidance,This XBRL element requires the use of positive/negative fact values to indicate if the amount is increased (+) or decreased (-).
esrs_AdjustmentOfComparativeInformationForOneOrMorePriorPeriodsIsImpracticable,en,http://www.xbrl.org/2003/role/label,Adjustment of comparative information for one or more prior periods is impracticable
esrs_AdjustmentsToPhysicalEnvironmentToEnsureHealthAndSafetyForWorkersCustomersAndOtherVisitorsWithDisabilitiesHaveBeenMade,en,http://www.xbrl.org/2003/role/label,"Adjustments to physical environment to ensure health and safety for workers, customers and other visitors with disabilities have been made"
esrs_AdministrativeBodyMember,en,http://www.xbrl.org/2003/role/label,Administrative body [member]
esrs_AdministrativeManagementAndSupervisoryBodiesAreInformedAboutMaterialImpactsRisksAndOpportunitiesImplementationOfDueDiligenceAndResultsAndEffectivenessOfPoliciesActionsMetricsAndTargetsAdoptedToAddressThem,en,http://www.xbrl.org/2003/role/label,"Administrative, management and supervisory bodies are informed about material impacts, risks and opportunities, implementation of due diligence, and results and effectiveness of policies, actions, metrics and targets adopted to address them"
esrs_AdministrativeManagementAndSupervisoryBodiesAreInformedAboutViewsAndInterestsOfAffectedStakeholdersWithRegardToSustainabilityrelatedImpacts,en,http://www.xbrl.org/2003/role/label,"Administrative, management and supervisory bodies are informed about views and interests of affected stakeholders with regard to sustainability-related impacts"
esrs_AdministrativeManagementAndSupervisoryBodiesAxis,en,http://www.xbrl.org/2003/role/label,"Administrative, management and supervisory bodies [axis]"
esrs_AdministrativeManagementAndSupervisoryBodiesHaveApprovedTransitionClimateChange,en,http://www.xbrl.org/2003/role/label,"Administrative, management and supervisory bodies have approved transition plan (climate change)"
esrs_AdministrativeManagementAndSupervisoryBodiesHaveApprovedTransitionPlanBiodiversityAndEcosystems,en,http://www.xbrl.org/2003/role/label,"Administrative, management and supervisory bodies have approved transition plan (biodiversity and ecosystems)"
esrs_AdministrativeManagementAndSupervisoryBodiesMember,en,http://www.xbrl.org/2003/role/label,"Administrative, management and supervisory bodies [member]"
esrs_AdministrativeManagementAndSupervisoryBodiesMember,en,http://www.xbrl.org/2003/role/totalLabel,"Total administrative, management and supervisory bodies / NA [member]"
esrs_AdvancingPositiveImpactsOnOwnWorkforceValueChainWorkersAffectedCommunitiesConsumersAndEndUsersMember,en,http://www.xbrl.org/2003/role/label,Advancing positive impacts on own workforce / value chain workers / affected communities / consumers and end-users [member]
esrs_AffectedCommunitiesAreIndigenousPeoples,en,http://www.xbrl.org/2003/role/label,Affected communities are indigenous peoples
esrs_AffectedCommunitiesConsumersAndEndusersThatMayBeAffectedAreAbleToAccessChannelsAtLevelOfUndertakingTheyAreAffectedBy,en,http://www.xbrl.org/2003/role/label,Affected communities / consumers and end-users that may be affected are able to access channels at level of undertaking they are affected by
esrs_AffectedCommunitiesMember,en,http://www.xbrl.org/2003/role/label,Affected communities [member]
esrs_AgeGroundsForDiscriminationAndDiversityAreSpecificallyCoveredInPolicyMember,en,http://www.xbrl.org/2003/role/label,Age grounds for discrimination and diversity are specifically covered in policy [member]
esrs_AllAffectedCommunitiesWhoMayBePotentiallyOrActuallyMateriallyImpactedMember,en,http://www.xbrl.org/2003/role/label,All affected communities who may be potentially or actually materially impacted [member]
esrs_AllConsumersAndEndusersWhoMayBePotentiallyOrActuallyMateriallyImpactedMember,en,http://www.xbrl.org/2003/role/label,All consumers and end-users who may be potentially or actually materially impacted [member]
esrs_AllEmployeesAndOrNonemployeesArePaidAdequateWageInLineWithApplicableBenchmarks,en,http://www.xbrl.org/2003/role/label,All employees and (or) non-employees are paid adequate wage in line with applicable benchmarks
esrs_AllEmployeesAreEntitledToFamilyrelatedLeaveThroughSocialPolicyAndOrCollectiveBargainingAgreements,en,http://www.xbrl.org/2003/role/label,All employees are entitled to family-related leave through social policy and (or) collective bargaining agreements
esrs_AllOwnWorkforceMember,en,http://www.xbrl.org/2003/role/label,All own workforce [member]
esrs_AllPeopleInOwnWorkforceValueChainWorkersAffectedCommunitiesConsumersAndEndusersWhoCouldBeMateriallyImpactedByUndertakingAreIncludedInScopeOfDisclosureUnderESRS2,en,http://www.xbrl.org/2003/role/label,All people in own workforce / value chain workers / affected communities / consumers and end-users who could be materially impacted by undertaking are included in scope of disclosure under ESRS 2
esrs_AllValueChainWorkersWhoMayBePotentiallyOrActuallyMateriallyImpactedMember,en,http://www.xbrl.org/2003/role/label,All value chain workers who may be potentially or actually materially impacted [member]
esrs_AmendmentsToStrategyAndOrBusinessModelAreLikelyToModifyRelationshipWithAndViewsOfStakeholders,en,http://www.xbrl.org/2003/role/label,Amendments to strategy and (or) business model are likely to modify relationship with and views of stakeholders
esrs_AmountOfCarbonCreditsOutsideValueChainPlannedToBeCancelledInFuture,en,http://www.xbrl.org/2003/role/label,Amount of carbon credits outside value chain planned to be cancelled in future
esrs_AmountOfCarbonCreditsOutsideValueChainPlannedToBeCancelledInFuture,en,http://www.xbrl.org/2003/role/totalLabel,Total amount of carbon credits outside value chain planned to be cancelled in future
esrs_AmountOfCarbonCreditsOutsideValueChainThatAreVerifiedAgainstRecognisedQualityStandardsAndCancelled,en,http://www.xbrl.org/2003/role/label,Amount of carbon credits outside value chain that are verified against recognised quality standards and cancelled
esrs_AmountOfCarbonCreditsOutsideValueChainThatAreVerifiedAgainstRecognisedQualityStandardsAndCancelled,en,http://www.xbrl.org/2003/role/totalLabel,Total amount of carbon credits outside value chain that are verified against recognised quality standards and cancelled
esrs_AmountOfFinesForViolationOfAnticorruptionAndAntibriberyLaws,en,http://www.xbrl.org/2003/role/label,Amount of fines for violation of anti-corruption and anti-bribery laws
esrs_AmountOfFinesPenaltiesAndCompensationForDamagesAsResultOfIncidentesAndComplaints,en,http://www.xbrl.org/2003/role/label,"Amount of fines, penalties, and compensation for damages as result of incidents and complaints"
esrs_AmountOfFinesPenaltiesAndCompensationForDamagesAsResultOfIncidentesAndComplaints,en,http://www.xbrl.org/2003/role/totalLabel,"Total amount of fines, penalties, and compensation for damages as result of incidents and complaints"
esrs_AmountOfFinesPenaltiesAndCompensationForDamagesForSevereHumanRightsIncidentsConnectedToOwnWorkforce,en,http://www.xbrl.org/2003/role/label,"Amount of fines, penalties, and compensation for damages for severe human rights incidents connected to own workforce"
esrs_AmountOfFinesPenaltiesAndCompensationForDamagesForSevereHumanRightsIncidentsConnectedToOwnWorkforce,en,http://www.xbrl.org/2003/role/totalLabel,"Total amount of fines, penalties, and compensation for damages for severe human rights incidents connected to own workforce"
esrs_AmountOfInternalAndExternalLobbyingExpenses,en,http://www.xbrl.org/2003/role/label,Amount of internal and external lobbying expenses
esrs_AmountOfInternalAndExternalLobbyingExpenses,en,http://www.xbrl.org/2003/role/totalLabel,Total amount of internal and external lobbying expenses
esrs_AmountOfSubstancesOfConcernThatAreGeneratedOrUsedDuringProductionOrThatAreProcured,en,http://www.xbrl.org/2003/role/label,Amount of substances of concern that are generated or used during production or that are procured
esrs_AmountOfSubstancesOfConcernThatAreGeneratedOrUsedDuringProductionOrThatAreProcured,en,http://www.xbrl.org/2003/role/totalLabel,Total amount of substances of concern that are generated or used during production or that are procured
esrs_AmountOfSubstancesOfConcernThatLeaveFacilitiesAsEmissions,en,http://www.xbrl.org/2003/role/label,Amount of substances of concern that leave facilities as emissions
esrs_AmountOfSubstancesOfConcernThatLeaveFacilitiesAsEmissionsAsProductsOrAsPartOfProductsOrServices,en,http://www.xbrl.org/2003/role/label,"Amount of substances of concern that leave facilities as emissions, as products, or as part of products or services"
esrs_AmountOfSubstancesOfConcernThatLeaveFacilitiesAsEmissionsAsProductsOrAsPartOfProductsOrServices,en,http://www.xbrl.org/2003/role/totalLabel,"Total amount of substances of concern that leave facilities as emissions, as products, or as part of products or services"
esrs_AmountOfSubstancesOfConcernThatLeaveFacilitiesAsPartOfProducts,en,http://www.xbrl.org/2003/role/label,Amount of substances of concern that leave facilities as part of products
esrs_AmountOfSubstancesOfConcernThatLeaveFacilitiesAsProducts,en,http://www.xbrl.org/2003/role/label,Amount of substances of concern that leave facilities as products
esrs_AmountOfSubstancesOfConcernThatLeaveFacilitiesAsServices,en,http://www.xbrl.org/2003/role/label,Amount of substances of concern that leave facilities as services
esrs_AmountOfSubstancesOfVeryHighConcernThatAreGeneratedOrUsedDuringProductionOrThatAreProcured,en,http://www.xbrl.org/2003/role/label,Amount of substances of very high concern that are generated or used during production or that are procured
esrs_AmountOfSubstancesOfVeryHighConcernThatAreGeneratedOrUsedDuringProductionOrThatAreProcured,en,http://www.xbrl.org/2003/role/totalLabel,Total amount of substances of very high concern that are generated or used during production or that are procured
esrs_AmountOfSubstancesOfVeryHighConcernThatLeaveFacilitiesAsEmissions,en,http://www.xbrl.org/2003/role/label,Amount of substances of very high concern that leave facilities as emissions
esrs_AmountOfSubstancesOfVeryHighConcernThatLeaveFacilitiesAsEmissionsAsProductsOrAsPartOfProductsOrServices,en,http://www.xbrl.org/2003/role/label,"Amount of substances of very high concern that leave facilities as emissions, as products, or as part of products or services"
esrs_AmountOfSubstancesOfVeryHighConcernThatLeaveFacilitiesAsEmissionsAsProductsOrAsPartOfProductsOrServices,en,http://www.xbrl.org/2003/role/totalLabel,"Total amount of substances of very high concern that leave facilities as emissions, as products, or as part of products or services"
