parentId,childId,order
esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationGHGEmissionsReductionTargetsByDecarbonisationLeversIntensityValueAbstract,esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationGHGEmissionsReductionTargetsByDecarbonisationLeversIntensityValueLineItems,20.0
esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationGHGEmissionsReductionTargetsByDecarbonisationLeversIntensityValueLineItems,esrs_TotalGreenhouseGasEmissionsIntensityValueAbstract,10.0
esrs_TotalGreenhouseGasEmissionsIntensityValueAbstract,esrs_IntensityValueOfTotalGreenhouseGasEmissionsReduction,10.0
esrs_TotalGreenhouseGasEmissionsIntensityValueAbstract,esrs_PercentageOfTargetRelatedToTotalGreenhouseGasEmissionsIntensityValue,20.0
esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationGHGEmissionsReductionTargetsByDecarbonisationLeversIntensityValueLineItems,esrs_Scope1GreenhouseGasEmissionsIntensityValueAbstract,20.0
esrs_Scope1GreenhouseGasEmissionsIntensityValueAbstract,esrs_IntensityValueOfScope1GreenhouseGasEmissionsReduction,10.0
esrs_Scope1GreenhouseGasEmissionsIntensityValueAbstract,esrs_PercentageOfTargetRelatedToScope1GreenhouseGasEmissionsIntensityValue,20.0
esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationGHGEmissionsReductionTargetsByDecarbonisationLeversIntensityValueLineItems,esrs_LocationBasedScope2GreenhouseGasEmissionsIntensityValueAbstract,30.0
esrs_LocationBasedScope2GreenhouseGasEmissionsIntensityValueAbstract,esrs_IntensityValueOfLocationBasedScope2GreenhouseGasEmissionsReduction,10.0
esrs_LocationBasedScope2GreenhouseGasEmissionsIntensityValueAbstract,esrs_PercentageOfTargetRelatedToLocationBasedScope2GreenhouseGasEmissionsIntensityValue,20.0
