tag_id,dimension_tag_id,name
esrs_PercentageOfScope3GreenhouseGasEmissionsInTotalGreenhouseGasEmissionsReduction,esrs_ScopeDimensionScope3,GHGScope
esrs_PercentageOfScope3GreenhouseGasEmissionsReductionAsOfEmissionsOfBaseYear,esrs_ScopeDimensionScope3,GHGScope
esrs_PercentageOfScope3GreenhouseGasEmissionsReductionAsOfEmissionsOfBaseYear,esrs_TimeDimensionBaseYear,Time
esrs_PercentageOfTargetRelatedToLocationBasedScope2GreenhouseGasEmissions,esrs_ScopeDimensionLocationBased,GHGScope
esrs_PercentageOfTargetRelatedToLocationBasedScope2GreenhouseGasEmissionsAsOfEmissionsOfBaseYear,esrs_ScopeDimensionLocationBased,GHGScope
esrs_PercentageOfTargetRelatedToLocationBasedScope2GreenhouseGasEmissionsAsOfEmissionsOfBaseYear,esrs_TimeDimensionBaseYear,Time
esrs_PercentageOfTargetRelatedToLocationBasedScope2GreenhouseGasEmissionsIntensityValue,esrs_ScopeDimensionLocationBased,GHGScope
esrs_PercentageOfTargetRelatedToMarketBasedScope2GreenhouseGasEmissions,esrs_ScopeDimensionMarketBased,GHGScope
esrs_PercentageOfTargetRelatedToMarketBasedScope2GreenhouseGasEmissionsAsOfEmissionsOfBaseYear,esrs_ScopeDimensionMarketBased,GHGScope
esrs_PercentageOfTargetRelatedToMarketBasedScope2GreenhouseGasEmissionsAsOfEmissionsOfBaseYear,esrs_TimeDimensionBaseYear,Time
esrs_PercentageOfTargetRelatedToMarketBasedScope2GreenhouseGasEmissionsIntensityValue,esrs_ScopeDimensionMarketBased,GHGScope
esrs_PercentageOfTargetRelatedToScope1GreenhouseGasEmissions,esrs_ScopeDimensionScope1,GHGScope
esrs_PercentageOfTargetRelatedToScope1GreenhouseGasEmissionsAsOfEmissionsOfBaseYear,esrs_ScopeDimensionScope1,GHGScope
esrs_PercentageOfTargetRelatedToScope1GreenhouseGasEmissionsAsOfEmissionsOfBaseYear,esrs_TimeDimensionBaseYear,Time
esrs_PercentageOfTargetRelatedToScope1GreenhouseGasEmissionsIntensityValue,esrs_ScopeDimensionScope1,GHGScope
esrs_PercentageOfTargetRelatedToScope3GreenhouseGasEmissions,esrs_ScopeDimensionScope3,GHGScope
esrs_PercentageOfTargetRelatedToScope3GreenhouseGasEmissionsAsOfEmissionsOfBaseYear,esrs_ScopeDimensionScope3,GHGScope
esrs_PercentageOfTargetRelatedToScope3GreenhouseGasEmissionsAsOfEmissionsOfBaseYear,esrs_TimeDimensionBaseYear,Time
esrs_PercentageOfTargetRelatedToScope3GreenhouseGasEmissionsIntensityValue,esrs_ScopeDimensionScope3,GHGScope
esrs_PercentageOfTargetRelatedToTotalGreenhouseGasEmissionsAsOfEmissionsOfBaseYear,esrs_TimeDimensionBaseYear,Time
esrs_PercentageOfTotalGreenhouseGasEmissionsReductionAsOfEmissionsOfBaseYear,esrs_TimeDimensionBaseYear,Time
esrs_PeriodToWhichTargetApplies,esrs_TimeDimensionPeriod,Time
esrs_ProcessToIdentifyAssessAndManageImpactsRisksAndOpportunitiesHasChangedComparedToPriorReportingPeriod,esrs_TimeDimensionPeriod,Time
esrs_ReportingPeriodEndDate,esrs_TimeDimensionPeriod,Time
esrs_ReportingPeriodStartDate,esrs_TimeDimensionPeriod,Time
esrs_Scope1GreenhouseGasEmissionsAbstract,esrs_ScopeDimensionScope1,GHGScope
esrs_Scope1GreenhouseGasEmissionsIntensityValueAbstract,esrs_ScopeDimensionScope1,GHGScope
esrs_Scope3GHGEmissionsCategoryGHGProtocolAxis,esrs_ScopeDimensionScope3,GHGScope
esrs_Scope3GHGEmissionsCategoryGHGProtocolMember,esrs_ScopeDimensionScope3,GHGScope
esrs_Scope3GHGEmissionsCategoryISO140641Axis,esrs_ScopeDimensionScope3,GHGScope
esrs_Scope3GHGEmissionsCategoryISO140641Member,esrs_ScopeDimensionScope3,GHGScope
esrs_Scope3GreenhouseGasEmissionsAbstract,esrs_ScopeDimensionScope3,GHGScope
esrs_Scope3GreenhouseGasEmissionsIntensityValueAbstract,esrs_ScopeDimensionScope3,GHGScope
esrs_SocialProtectionByCountryAbstract,esrs_GeographicDimensionCountry,Geography
esrs_SocialProtectionByCountryLineItems,esrs_GeographicDimensionCountry,Geography
esrs_SocialProtectionByCountryTable,esrs_GeographicDimensionCountry,Geography
esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationScope3GHGEmissionsReductionTargetsGHGProtocolAbstract,esrs_ScopeDimensionScope3,GHGScope
esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationScope3GHGEmissionsReductionTargetsGHGProtocolLineItems,esrs_ScopeDimensionScope3,GHGScope
esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationScope3GHGEmissionsReductionTargetsGHGProtocolTable,esrs_ScopeDimensionScope3,GHGScope
esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationScope3GHGEmissionsReductionTargetsISO140641Abstract,esrs_ScopeDimensionScope3,GHGScope
esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationScope3GHGEmissionsReductionTargetsISO140641LineItems,esrs_ScopeDimensionScope3,GHGScope
esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationScope3GHGEmissionsReductionTargetsISO140641Table,esrs_ScopeDimensionScope3,GHGScope
esrs_TrainingAndSkillsDevelopmentMetricsByEmployeeCategoryAndGenderAbstract,esrs_GenderDimensionMale,Gender
esrs_TrainingAndSkillsDevelopmentMetricsByEmployeeCategoryAndGenderLineItems,esrs_GenderDimensionMale,Gender
esrs_TrainingAndSkillsDevelopmentMetricsByEmployeeCategoryAndGenderTable,esrs_GenderDimensionMale,Gender
